Бізнес - підрозділи,,Засновник,Директор,Адміністративний,Фінансний,Продуктовий менеджер,Маркетингу,Продаж,Підтримки,АйТі,Розробки,Рекрутинг та кадри,Партнери,Інші,Інвестор,,,
Business Units (Business Deparments),,Founder,CEO,Corp,Finance,Product Manager,Marketing,Sales,Support,IT,Development,HR,Partner ship,Other,Owner,,,
Senior Account Executive,4,,,,,,,4,,,,,,,,,Legend:,Level
Recruiting Specialist,4,,,,,,,,,,,4,,,,,"Founder, Owner, co-Founder, Board Member",1
Board Member ,1,1,,,,,,,,,,,,,,,"CEO, CxO, VP ...",2
Prospect/ Email List Builder,5,,,,,,,5,,,,,,,,,"Product/Project/Program *** Manager, Head of ..., Managing Director, Chief of ..",3
Software Engineer,5,,,,,,,,,,5,,,,,,"Team Lead ..., Senior ... Specialist",4
CEO,2,,2,,,,,,,,,,,,,,,
Recruiting Specialist,4,,,,,,,,,,,4,,,,,,
Vice President Sales,2,,,,,,,2,,,,,,,,,,
Board Observer,1,1,,,,,,,,,,,,,,,,
Co-Founder,1,1,,,,,,,,,,,,,,,,
CTO,2,,2,,,,,,,,,,,,,,,
Sales Development Representative,5,,,,,,,5,,,,,,,,,,
Head of Business,3,,,,3,,,,,,,,,,,,,
Data Scientist,5,,,,,,,,,,5,,,,,,,
VP of Engineering,2,,,,,,,,,2,,,,,,,,
Director of Data Engineering,3,,,,,,,,,,3,,,,,,,
Sales Development Representative ,5,,,,,,,5,,,,,,,,,,
"Chief of Staff, Engineering",3,,,,,,,,,3,,,,,,,,
Director of Brand Experience ,1,1,,,,,,,,,,,,,,,,
Senior Account Executive,4,,,,,,,4,,,,,,,,,,
Owner,1,,,,,,,,,,,,,,1,,,
Senior Marketing Manage,4,,,,,,4,,,,,,,,,,,
Director Of Communications,3,,,,,,3,,,,,,,,,,,
Senior Software Developer,4,,,,,,,,,4,,,,,,,,
Senior Account Executive,4,,,,,,,4,,,,,,,,,,
Customer Success Engineer,5,,,,,,,,,5,,,,,,,,
Senior Software Engineer,4,,,,,,,,,4,,,,,,,,
Sales Operations Manager,5,,,,,,,5,,,,,,,,,,
Senior UX Designer,4,,,,,,4,,,,,,,,,,,
NLP Engineer,5,,,,,,,,,,5,,,,,,,
Product Manager,3,,,,,3,,,,,,,,,,,,
Operations Manager,4,,,,,,4,,,,,,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Recruiting,4,,,,,,,,,,,4,,,,,,
Frontend Software Engineer,5,,,,,,,,,,5,,,,,,,
Data Scientist ,5,,,,,,,,,,5,,,,,,,
Senior Support Engineer,4,,,,,,,,4,,,,,,,,,
Support Engineer,4,,,,,,,,4,,,,,,,,,
Support Engineer,4,,,,,,,,4,,,,,,,,,
Support Engineer,4,,,,,,,,4,,,,,,,,,
Support Engineer,4,,,,,,,,4,,,,,,,,,
Executive Assistant,5,,,,,,5,,,,,,,,,,,
Account Manager,3,,,,,,,3,,,,,,,,,,
Growth Manager,3,,,3,,,,,,,,,,,,,,
Senior Server Engineer,4,,,,,,,,,,4,,,,,,,
DevOps Engineer,4,,,,,,,,,4,,,,,,,,
iOS Consultant,5,,,,,,5,,,,,,,,,,,
Android Engineer,5,,,,,,,,,,5,,,,,,,
Engineer,5,,,,,,,,,5,,,,,,,,
Co-founder,1,1,,,,,,,,,,,,,,,,
CEO,2,,2,,,,,,,,,,,,,,,
VP Marketing,2,,,,,,2,,,,,,,,,,,
Advisor,3,,,3,,,,,,,,,,,,,,
Senior Software Engineer,4,,,,,,,,,,4,,,,,,,
Marketing and Operations Manager,3,,,,,,3,,,,,,,,,,,
VP Of Engineering,2,,,,,,,,,2,,,,,,,,
Super Duper Software Engineer,5,,,,,,,,,,5,,,,,,,
Android Engineer,5,,,,,,,,,,5,,,,,,,
Senior Software Developer ,4,,,,,,,,,,4,,,,,,,
Senior Technical Recruiter,4,,,,,,,,,,,4,,,,,,
Software Engineer,5,,,,,,,,,,5,,,,,,,
Product Designer,3,,,,,,3,,,,,,,,,,,
Director of Business Development,3,,,,,,,3,,,,,,,,,,
Manager Operations,3,,,3,,,,,,,,,,,,,,
Manager Business Development,3,,,,,,,3,,,,,,,,,,
Manager,3,,,3,,,,,,,,,,,,,,
Sales Manager,3,,,,,,,3,,,,,,,,,,
Commercial Director,3,,,3,,,,,,,,,,,,,,
MD/President,2,,2,,,,,,,,,,,,,,,
Account Manager,3,,,,,,,3,,,,,,,,,,
Owner,1,,,,,,,,,,,,,,1,,,
Graphic Designer,5,,,,,,5,,,,,,,,,,,
VP Marketing,2,,,,,,2,,,,,,,,,,,
